Date,Mean Value,Area (km²)
2025-01-01,0.27515149116516113,75.993
2025-02-25,0.2715943455696106,75.993
2025-03-14,0.26749804615974426,75.993
2025-03-17,0.282336950302124,75.993
2025-03-22,0.25817954540252686,75.993
2025-04-01,0.2653239369392395,75.993
2025-04-06,0.2915523946285248,75.993
2025-04-11,0.31861332058906555,75.993
2025-04-26,0.46795231103897095,75.993
2025-07-25,0.5718361139297485,75.993
2025-07-30,0.5751346945762634,75.993
2025-09-03,0.47703877091407776,75.993
2025-10-20,0.4893617630004883,75.993
2025-10-28,0.471640408039093,75.993
2025-11-07,0.42341136932373047,75.993
2025-11-22,0.3331800699234009,75.993
2025-11-29,0.2921546399593353,75.993
